Index,Date,Closing Price
BOVESPA,2020-05-12,"77,915.00"
BOVESPA,2020-05-13,"78,010.00"
BOVESPA,2020-05-14,"79,115.00"
BOVESPA,2020-05-15,"77,720.00"
BOVESPA,2020-05-18,"81,375.00"
BOVESPA,2020-05-19,"80,790.00"
BOVESPA,2020-05-20,"81,275.00"
BOVESPA,2020-05-21,"83,105.00"
BOVESPA,2020-05-22,"82,435.00"
BOVESPA,2020-05-26,"85,720.00"
BOVESPA,2020-05-27,"87,980.00"
BOVESPA,2020-05-28,"87,035.00"
BOVESPA,2020-05-29,"87,210.00"
BOVESPA,2020-06-01,"88,775.00"
BOVESPA,2020-06-02,"91,165.00"
BOVESPA,2020-06-03,"92,925.00"
BOVESPA,2020-06-04,"93,885.00"
BOVESPA,2020-06-05,"94,585.00"
BSX,2020-01-02,"2,404.48"
BSX,2020-01-03,"2,404.48"
BSX,2020-01-06,"2,404.48"
BSX,2020-01-07,"2,346.59"
BSX,2020-01-08,"2,351.43"
BSX,2020-01-09,"2,365.00"
BSX,2020-01-10,"2,368.44"
BSX,2020-01-13,"2,373.44"
BSX,2020-01-14,"2,353.44"
BSX,2020-01-15,"2,353.32"
BSX,2020-01-16,"2,350.92"
BSX,2020-01-17,"2,336.94"
BSX,2020-01-20,"2,336.94"
BSX,2020-01-21,"2,336.94"
BSX,2020-01-22,"2,336.94"
BSX,2020-01-23,"2,336.94"
BSX,2020-01-24,"2,336.94"
BSX,2020-01-27,"2,258.21"
BSX,2020-01-28,"2,202.04"
BSX,2020-01-29,"2,221.01"
BSX,2020-01-30,"2,200.00"
BSX,2020-01-31,"2,216.84"
BSX,2020-02-03,"2,216.84"
BSX,2020-02-04,"2,220.10"
BSX,2020-02-05,"2,253.55"
BSX,2020-02-06,"2,253.55"
BSX,2020-02-07,"2,253.55"
BSX,2020-02-10,"2,226.57"
BSX,2020-02-11,"2,253.00"
BSX,2020-02-12,"2,253.00"
BSX,2020-02-13,"2,253.00"
BSX,2020-02-14,"2,243.44"
BSX,2020-02-18,"2,216.45"
BSX,2020-02-19,"2,220.50"
BSX,2020-02-20,"2,220.50"
BSX,2020-02-21,"2,220.50"
BSX,2020-02-24,"2,200.26"
BSX,2020-02-25,"2,200.74"
BSX,2020-02-26,"2,032.33"
BSX,2020-02-27,"2,031.85"
BSX,2020-02-28,"2,037.85"
BSX,2020-03-02,"2,032.11"
BSX,2020-03-03,"1,953.40"
BSX,2020-03-04,"1,903.91"
BSX,2020-03-05,"1,903.91"
BSX,2020-03-06,"1,902.01"
BSX,2020-03-09,"1,897.51"
BSX,2020-03-10,"1,771.30"
BSX,2020-03-11,"1,791.25"
BSX,2020-03-12,"1,787.56"
BSX,2020-03-13,"1,799.35"
BSX,2020-03-16,"1,799.35"
BSX,2020-03-17,"1,572.56"
BSX,2020-03-18,"1,572.57"
BSX,2020-03-19,"1,555.57"
BSX,2020-03-20,"1,559.01"
BSX,2020-03-23,"1,557.29"
BSX,2020-03-24,"1,427.32"
BSX,2020-03-25,"1,506.52"
BSX,2020-03-26,"1,506.52"
